                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 0.9261,                0.78165,                0.97971,                0.87848,                0.88904,                0.92372,                0.63702,                0.85504,                0.62871,                0.92409,               0.006601,               0.006601,               0.006601
                    105,                 0.8577,                0.71059,                0.96085,                0.83834,                0.84083,                0.89453,                0.57478,                 1.1409,                 0.6717,                 1.0379,               0.006568,               0.006568,               0.006568
                    106,                   0.89,                0.75752,                0.97842,                0.81834,                0.90538,                0.91055,                0.63598,                0.94383,                0.65873,                0.95459,               0.006535,               0.006535,               0.006535
                    107,                0.90562,                0.74124,                0.97909,                0.87953,                0.91057,                0.93884,                0.67591,                 0.8022,                 0.5936,                0.90512,               0.006502,               0.006502,               0.006502
                    108,                0.84442,                0.72809,                 0.9518,                 0.9028,                0.90648,                0.94246,                0.67271,                0.85129,                0.60916,                0.91724,               0.006469,               0.006469,               0.006469
                    109,                0.88044,                0.73536,                0.98454,                 0.8775,                0.89076,                0.93808,                0.67107,                0.78714,                0.57399,                0.90112,               0.006436,               0.006436,               0.006436
                    110,                0.87325,                0.73987,                0.96068,                0.94135,                0.82065,                0.92699,                0.64719,                 0.8199,                0.59861,                0.90943,               0.006403,               0.006403,               0.006403
                    111,                0.89141,                0.75826,                0.98057,                0.88246,                0.92921,                0.91916,                0.66873,                0.75476,                0.55439,                0.88758,                0.00637,                0.00637,                0.00637
                    112,                0.87427,                0.74406,                 0.9571,                0.87357,                0.93097,                0.92371,                0.67263,                0.74956,                0.55386,                0.88618,               0.006337,               0.006337,               0.006337
                    113,                0.89438,                0.74317,                  0.966,                0.87426,                0.93619,                0.92363,                0.67295,                0.75036,                0.54343,                 0.8877,               0.006304,               0.006304,               0.006304
                    114,                0.87876,                0.75562,                0.95474,                0.88855,                0.87234,                0.93624,                0.68149,                0.80033,                0.58748,                0.90469,               0.006271,               0.006271,               0.006271
                    115,                0.91178,                0.75369,                 0.9744,                0.86028,                0.93934,                0.94469,                0.69046,                  0.768,                0.53789,                0.89202,               0.006238,               0.006238,               0.006238
                    116,                0.85007,                0.71463,                0.96105,                0.88752,                0.92732,                0.93509,                0.69525,                0.73212,                0.52904,                 0.8854,               0.006205,               0.006205,               0.006205
                    117,                0.86635,                0.72839,                0.94307,                0.85545,                0.93598,                0.94216,                0.69963,                0.76241,                0.53653,                0.89075,               0.006172,               0.006172,               0.006172
                    118,                0.92546,                0.72514,                0.95876,                0.86817,                0.92595,                0.93267,                 0.6864,                0.76236,                0.52195,                0.88923,               0.006139,               0.006139,               0.006139
                    119,                0.85037,                0.68527,                 0.9522,                0.95807,                 0.8187,                0.93623,                0.67166,                0.76135,                0.55671,                0.89039,               0.006106,               0.006106,               0.006106
                    120,                0.85087,                 0.7368,                0.95452,                 0.8593,                0.94047,                0.94511,                0.68849,                0.76167,                0.56881,                0.88727,               0.006073,               0.006073,               0.006073
                    121,                0.90534,                0.81735,                0.99016,                0.83881,                0.93772,                0.92024,                0.66762,                0.79922,                0.57586,                0.89862,                0.00604,                0.00604,                0.00604
                    122,                0.86959,                0.71848,                0.94818,                0.85803,                0.95146,                0.93958,                 0.6851,                0.75632,                0.54768,                0.89015,               0.006007,               0.006007,               0.006007
                    123,                0.83365,                0.69047,                 0.9418,                0.91342,                0.92546,                0.95816,                0.71239,                0.75284,                0.55291,                0.88931,               0.005974,               0.005974,               0.005974
                    124,                0.87213,                0.72766,                0.95275,                0.90457,                0.91374,                0.95919,                0.70791,                0.78591,                0.56896,                0.89837,               0.005941,               0.005941,               0.005941
                    125,                0.84102,                0.72206,                0.95616,                0.93382,                0.91956,                0.96204,                0.71817,                0.75671,                0.55968,                0.88719,               0.005908,               0.005908,               0.005908
                    126,                0.84087,                0.68311,                  0.936,                0.90589,                0.93911,                0.95698,                0.69836,                0.78166,                 0.5506,                0.89597,               0.005875,               0.005875,               0.005875
                    127,                0.86247,                0.75087,                0.99474,                 0.9371,                0.93654,                0.96395,                0.71247,                0.75057,                0.54299,                0.88129,               0.005842,               0.005842,               0.005842
                    128,                0.86085,                0.68555,                0.96435,                0.94899,                0.92118,                0.96533,                0.70703,                0.72382,                0.53309,                0.87828,               0.005809,               0.005809,               0.005809
                    129,                0.83213,                  0.676,                0.94734,                0.92532,                0.90077,                0.96052,                0.70984,                0.74499,                 0.5364,                0.87856,               0.005776,               0.005776,               0.005776
                    130,                0.79681,                0.67791,                0.94781,                0.93256,                0.89396,                0.96101,                0.71762,                0.71677,                0.52749,                0.87344,               0.005743,               0.005743,               0.005743
                    131,                0.87424,                 0.7093,                0.95288,                0.86575,                0.92901,                0.96262,                0.71207,                0.72792,                0.53021,                 0.8812,                0.00571,                0.00571,                0.00571
                    132,                0.82946,                0.67687,                0.96141,                0.87866,                0.92638,                0.95986,                0.72121,                0.73793,                0.53024,                 0.8794,               0.005677,               0.005677,               0.005677
                    133,                0.84431,                0.70398,                0.94981,                0.88582,                0.92276,                0.96551,                0.71668,                0.71963,                0.52577,                0.87833,               0.005644,               0.005644,               0.005644
                    134,                0.86048,                0.71155,                0.95288,                0.88175,                0.93648,                0.96688,                0.73483,                0.71384,                0.52981,                0.87494,               0.005611,               0.005611,               0.005611
                    135,                0.84919,                0.70927,                  0.973,                0.88017,                0.92993,                0.96228,                0.72212,                0.73298,                0.54448,                0.87739,               0.005578,               0.005578,               0.005578
                    136,                0.82727,                0.67091,                0.94424,                0.86758,                 0.9246,                0.95669,                0.70308,                0.78411,                0.54049,                0.89214,               0.005545,               0.005545,               0.005545
                    137,                0.82772,                0.66651,                0.93406,                0.88034,                0.92398,                0.95854,                0.72011,                0.71081,                0.51801,                0.87304,               0.005512,               0.005512,               0.005512
                    138,                0.83686,                0.68895,                0.95052,                0.93313,                0.88524,                0.95887,                0.71739,                0.72953,                0.51258,                0.87728,               0.005479,               0.005479,               0.005479
                    139,                0.81931,                0.66096,                0.92584,                0.90502,                0.92982,                0.96028,                0.72104,                0.70035,                0.50955,                0.86971,               0.005446,               0.005446,               0.005446
                    140,                0.82862,                0.68394,                0.94867,                0.94077,                0.89872,                0.95885,                0.70148,                0.74923,                0.53036,                0.88236,               0.005413,               0.005413,               0.005413
                    141,                 0.8331,                0.66639,                0.96664,                0.93366,                0.92047,                0.95831,                0.72553,                0.70271,                0.51937,                0.87047,                0.00538,                0.00538,                0.00538
                    142,                0.83657,                0.67017,                0.94154,                0.92764,                0.92152,                0.96097,                 0.7193,                0.72185,                0.53254,                0.87422,               0.005347,               0.005347,               0.005347
                    143,                0.82072,                0.67396,                0.93787,                0.93922,                0.91649,                0.96244,                0.70183,                 0.7479,                0.51968,                0.88271,               0.005314,               0.005314,               0.005314
                    144,                0.87821,                0.70178,                0.95464,                0.93784,                0.93621,                0.96909,                0.72396,                0.70753,                0.50203,                0.86965,               0.005281,               0.005281,               0.005281
                    145,                0.80705,                0.65265,                0.93862,                0.95829,                0.92817,                0.97196,                0.72139,                0.70969,                0.49646,                0.87478,               0.005248,               0.005248,               0.005248
                    146,                0.82603,                0.65947,                0.94406,                0.95029,                   0.94,                0.97255,                0.74062,                0.70048,                 0.4945,                0.87097,               0.005215,               0.005215,               0.005215
                    147,                 0.8103,                0.66158,                0.92605,                0.95321,                0.93455,                0.97139,                0.73568,                0.68514,                 0.5007,                0.86609,               0.005182,               0.005182,               0.005182
                    148,                0.83766,                0.66621,                0.93326,                0.93154,                0.93278,                0.96982,                0.72719,                0.77342,                0.53647,                 0.8899,               0.005149,               0.005149,               0.005149
                    149,                0.86215,                0.74482,                0.97076,                0.91671,                0.94941,                0.97313,                0.73551,                0.70201,                0.50189,                  0.872,               0.005116,               0.005116,               0.005116
                    150,                0.82862,                0.64874,                0.94407,                0.88686,                0.94356,                0.96532,                0.72551,                0.74813,                0.52417,                0.88374,               0.005083,               0.005083,               0.005083
                    151,                0.82358,                0.67758,                0.94196,                 0.8955,                0.91668,                0.95179,                0.69263,                0.81908,                 0.5806,                0.90679,                0.00505,                0.00505,                0.00505
                    152,                0.81629,                0.63238,                0.93234,                0.91775,                 0.9354,                0.96164,                0.70853,                0.75913,                0.52709,                0.88896,               0.005017,               0.005017,               0.005017
                    153,                0.79244,                0.66184,                0.93029,                0.90847,                0.93648,                0.94706,                0.69427,                0.73215,                0.52173,                0.88268,               0.004984,               0.004984,               0.004984
                    154,                0.80675,                0.67689,                0.93805,                0.92437,                0.93119,                0.97312,                0.73153,                0.73644,                 0.5126,                0.88632,               0.004951,               0.004951,               0.004951
                    155,                0.79584,                0.65821,                0.93956,                0.91742,                0.94389,                0.97011,                0.72314,                0.70474,                0.49264,                0.87832,               0.004918,               0.004918,               0.004918
                    156,                0.82298,                0.66775,                0.93289,                0.94078,                0.93045,                0.97052,                0.73837,                0.67248,                0.47954,                0.86537,               0.004885,               0.004885,               0.004885
                    157,                0.80306,                 0.6387,                0.94395,                0.92391,                 0.9407,                0.96859,                0.70458,                0.71935,                0.49863,                0.88066,               0.004852,               0.004852,               0.004852
